index,country,WHO region,continent,COVID cases/100k,deaths_per_100k,gov_type,capital city latitude,capital city latitude raw,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m,health
79,Indonesia,South-East Asia,Asia,2436.661,58.434,republic,6.166666667,6 10 S,5.1,5.4,36.8,3.8,30.5,2.08,71.1,0.712,3730,5.285600185,37,57.2,42.6,71.8,77.3,67.7,86.8,22.7,2.446969697,32.3,13.2,6.4,11.3,1.4,1.7,2.2,1.1,1,0.6,1,0.2,3.1,3.9,1.4,0.6925,0.1665,0.6605,0.971,0.9705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.610437036
190,Viet Nam,Western Pacific,Asia,11830.276,44.352,Communist state,21.03333333,21 02 N,6.8,2.2,34.8,3.5,30.9,1.79,74.3,0.7,2460,5.353499889,36,38.6,24.1,52.4,63.4,50,76.1,99.4,2.092050209,50,23.9,14.4,24.6,4.4,7.3,11.2,2.3,4,8.7,14.1,3.5,21.1,26.9,9.6,0.703,0.124,0.758,0.9835,0.9475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819133997
105,Malaysia,Western Pacific,Asia,15418.745,113.289,constitutional monarchy,3.166666667,3 10 N,5.9,3.4,46.2,3.8,28.7,2.48,75.2,0.805,11100,5.384300232,51,49.6,34.4,64.5,70.4,58.8,81.8,29.6,2.263736264,41.2,18.2,9.1,16.1,2.3,2.1,2.7,1.1,1,0.9,1.4,0.3,3,3.7,1.3,0.6785,0.102,0.647,0.9945,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.788511872
114,Mongolia,Western Pacific,Asia,30283.074,65.095,parliamentary,47.91666667,47 55 N,5.1,8,34,4.6,28.8,2.04,68,0.735,4240,5.456200123,35,37.3,23.1,50.9,66.4,53.7,78.5,33.6,2.153488372,46.3,21.5,15.7,26.5,5.2,11.6,15.1,6.4,5,8.2,12.8,3.8,22,27.7,10,0.7155,0.1215,0.767,0.9935,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.615788162
99,Libya,Eastern Mediterranean,Africa,7379.748,93.68,operates under a transitional government,32.88333333,32 53 N,64,30,NaN,28.5,29.4,2.03,75.7,0.721,5910,5.488800049,17,99.5,99.2,99.8,99.9,99.8,99.9,0.1,2,0.2,0.1,0,0,0,0.2,0.2,0.1,1,0,0,0,16.6,19.7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.615626633
41,Croatia,Europe,Europe,30883.564,426.597,parliamentary democracy,45.8,45 48 N,2.8,12.4,30.8,1.1,43.3,1.41,78.6,0.848,13300,5.504700184,47,18.5,9.4,26.8,40.3,26.1,53.2,59.7,1.579059829,73.9,46.8,32.1,49.1,15.2,6.1,10,2.4,3,9.2,14.7,4.2,14.2,19.4,6.7,0.733,0.294,0.666,0.995,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.900575578
67,Greece,Europe,Europe,50423.634,320.089,parliamentary republic,37.98333333,37 59 N,1.4,21.5,36.7,1.1,44.9,1.44,81,0.881,18600,5.514999866,50,15,7.4,22,34.6,21.7,46.7,65.4,1.469043152,78.3,53.3,28.2,44,12.5,4,6,2,2,10.2,16.2,4.5,14.8,20.4,7.1,0.689,0.1265,0.672,0.99,0.966,406.686903,259.48148,95.084076,679.23138,689.48517,310.60394,375.39032,6.5149975,5.7688799,184.53667,274.27158,0.979431748
15,Belarus,Europe,Europe,10519.666,75.328,republic,53.9,53 54 N,2.4,0.8,26.5,6,40.3,1.49,74,0.823,6140,5.539899826,47,7.5,5.9,8.8,26.4,21,30.8,73.6,1.141618497,79,69.2,28.2,42.3,15,24,23.8,24.2,5,11.5,18.7,5.4,15.7,23.9,8.2,0.754,0.216,0.829,0.9945,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75258857
93,Kyrgyzstan,Europe,Asia,3165.603,45.845,republic,42.86666667,42 52 N,4.6,7.1,33.4,3.2,26.8,2.59,73.3,0.696,1200,5.541500092,31,46,30.8,60.4,74.1,63.2,84.5,25.9,2.374193548,36.8,15.5,11.1,19.4,3.2,10.9,15.1,5.6,5,6.3,10.8,2,23.6,29.3,10.6,0.6905,0.116,0.674,0.993,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.680645883
144,Russian Federation,Europe,Europe,14794.88,268.615,federation,55.75,55 45 N,1.5,5.2,41.2,3.7,39.8,1.61,73,0.823,11900,5.546000004,30,27.2,24,30,41.9,38.6,44.6,58.1,1.108303249,61.4,55.4,38.8,49.8,29.1,21.6,23.1,19.9,5,11.2,19.1,4.6,20.8,28.5,9.8,0.708,0.085,0.767,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.68044591
115,Montenegro,Europe,Europe,45169.267,444.064,republic,42.43333333,42 26 N,4.3,16.1,31.9,2.4,38.9,NaN,75.6,0.826,7380,5.54610014,45,22.9,12.4,32.9,46,31.8,59.6,54,1.688118812,68.2,40.4,26.9,42.4,11.4,6.2,8.6,3.8,3,11.5,18.3,5,14,18.7,6.6,0.732,0.219,0.7405,0.998,0.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.839028895
171,Tajikistan,Europe,Asia,186.482,1.311,republic,38.55,38 33 N,7.1,2.4,32.6,7.3,24.8,2.59,69.2,0.661,1120,5.555699825,25,53.8,39.1,68.6,79.3,70.4,88.2,20.7,2.508474576,29.6,11.8,7.9,13.9,2,5.3,7.3,2.9,3,3.3,5.6,1,15,18.3,6.8,0.6565,0.121,0.5915,0.942,0.969,432.418243,305.04739,67.591736,684.50616,679.09766,270.44739,300.95496,46.099934,34.116821,133.94724,358.25012,0.680594802
142,Republic of Moldova,Europe,Europe,14749.268,295.441,republic,47,47 00 N,4.5,4.1,26.8,6.6,37,1.57,74,0.746,3260,5.607500076,34,11.4,5.4,16.8,33.4,20.4,45.2,66.6,1.452554745,79.6,54.8,28.6,45.1,13,26.1,26.9,25.3,5,11.4,18.3,5.3,27.1,36.4,12.7,0.778,0.349,0.7885,0.996,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.713299453
21,Bosnia and Herzegovina,Europe,Europe,12208.156,493.841,federal democratic republic,43.86666667,43 52 N,3,20.5,33.8,1.2,42.5,1.31,76.9,0.777,5380,5.674099922,35,27.4,15.5,39.2,52.1,37.9,66,47.9,1.826470588,62.1,34,22.7,36.4,8.6,4.6,7.7,1.5,3,7.2,11.8,2.7,12.5,16.4,5.7,0.7115,0.302,0.5985,0.9705,0.9745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.813928187
50,Dominican Republic,Americas,North America,5977.704,40.413,democratic republic,18.46666667,18 28 N,4.6,5.1,47.1,3.3,27.3,2.28,72.9,0.751,8000,5.689199924,28,32.8,19.7,45.5,57,43.3,70.3,43,1.909090909,56.7,29.7,19.9,32.8,7.2,6.6,9.6,2.5,4,6.7,10.7,2.8,14.9,19.2,7,0.701,0.172,0.654,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.741901696
135,Paraguay,Americas,South America,10068.842,275.091,constitutional republic,25.26666667,25 16 S,4.8,5.7,51.7,3.6,28.7,1.9,76.5,0.727,5870,5.692100048,28,24.7,13.9,35.7,64,51.6,76.8,36,2.086206897,48.4,23.2,17.2,28.3,5.7,6.3,9.7,2.2,4,7.6,11.9,3.2,19.1,23.9,8.8,0.7045,0.169,0.677,0.998,0.9745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.735869646
131,Pakistan,Eastern Mediterranean,Asia,713.083,13.867,federal republic,33.68333333,33 41 N,5.4,6,30.7,4.1,24.1,2.55,65.5,0.552,1500,5.69329977,31,96.5,94.7,98.4,98.8,98.2,99.4,1.2,3,1.8,0.6,0.1,0.1,0,0.6,0.8,0.2,1,0.3,0.6,0.1,20.3,23.8,8.8,0.56,0.155,0.3235,0.818,0.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.469933242
20,Bolivia (Plurinational State of),Americas,South America,9516.62,190.585,republic,16.5,16 30 S,4.2,4,47,2.8,24.6,2.58,71.8,0.714,3290,5.747499943,31,12,5.9,17.9,54.6,40.9,68.1,45.4,1.852664577,59.1,31.9,20.9,34.2,7.7,6.1,9.2,2.3,4,4.4,6.8,2.1,10.1,13,4.8,0.728,0.352,0.6185,0.9805,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.662445664
153,Serbia,Europe,Europe,34977.857,250.942,republic,44.83333333,44 50 N,1.9,14.1,38.7,3.1,42.8,1.44,75.6,0.803,6260,5.77820015,38,17.9,9.1,26,40,26.2,53,60,1.570212766,73.8,47,32.9,50,15.8,4.5,7.3,1.6,3,8.8,13.9,3.9,17.6,24,8.4,0.7795,0.4465,0.7025,0.998,0.9705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.828403294
136,Peru,Americas,South America,12826.634,659.308,constitutional republic,12.05,12 03 S,2.5,6.9,45.3,2.8,28.4,2.1,80,0.771,6570,5.796800137,38,8.8,4.2,13.3,46.8,32.9,60.4,53.2,1.694444444,67.1,39.6,26.3,41.6,11,6.9,10.4,2.7,4,6.4,9.8,3.1,11.7,15.3,5.5,0.735,0.3625,0.646,0.9675,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.824444175
86,Japan,Western Pacific,Asia,19493.564,39.086,a parliamentary government with a constitutional monarchy,35.68333333,35 41 N,1.7,2.9,37.9,0.5,47.7,1.42,84.8,0.917,36200,5.870800018,74,9.1,4.3,13.7,43,28.7,56.3,57,1.631578947,71.3,43.7,28.7,44.7,12.6,4.2,6.4,1.9,2,8,12.3,3.9,13.1,17.8,6.2,0.653,0.061,0.584,0.9915,0.973,494.1884945,224.30183,40.767059,626.42706,613.23279,266.19537,291.82288,51.403179,42.559521,271.52426,451.78384,1.072881341
85,Jamaica,Americas,North America,5150.571,114.786,constitutional parliamentary democracy,18,18 00 N,0.7,12.2,35,4.4,28.6,2.09,76.3,0.734,5040,5.889800072,44,40.8,26.3,54.9,65.1,52.6,77.4,34.9,2.097345133,47.4,22.6,14.7,25,4.6,2.7,4.5,0.6,2,4.2,6.8,1.7,11.3,14.3,5.2,0.745,0.23,0.783,1,0.9675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.788434088
139,Portugal,Europe,Europe,53773.348,246.166,republic; parliamentary democracy,38.71666667,38 43 N,2.7,8.9,33.9,1.6,43.7,1.39,81.7,0.86,21000,5.910900116,61,12.6,6,18.4,30.8,18.4,41.7,69.2,1.399656947,81.6,58.3,31.3,48.6,15.2,5.9,9.6,2.2,3,12,19.4,5.6,16.5,23.5,8.2,0.7705,0.377,0.7415,0.991,0.9725,514.0183705,328.15643,96.268341,673.74304,677.23273,199.77654,289.14047,7.0391064,5.0314465,231.28491,372.32706,0.979315281
51,Ecuador,Americas,South America,5731.049,203.706,republic,0.216666667,0 13 S,2.4,4.6,45.9,0.4,28.1,2.15,76.2,0.762,5950,5.925199986,39,11.6,5.7,17.4,53.5,39.7,67.1,46.5,1.832826748,60.3,32.9,21.3,34.8,7.9,5.7,8.8,1.8,3,4.2,6.4,2,9.3,12,4.3,0.741,0.315,0.687,0.994,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.838837743
95,Latvia,Europe,Europe,50503.938,319.289,parliamentary democracy,56.95,56 57 N,4.5,8.7,34.5,2.9,43.9,1.52,75.8,0.863,15500,5.949999809,57,10.2,4.6,14.8,25,13.5,34.5,75,1.320610687,86.5,65.5,50.2,69.1,32.9,21.5,22.4,20.7,5,12.8,20.9,6.1,22.4,31,10.6,0.7745,0.307,0.8125,1,0.9775,524.1902,253.25412,129.7269,643.69354,639.60291,249.24818,290.47876,5.3358335,3.2603798,288.46832,376.93106,0.777902424
75,Honduras,Americas,North America,4624.343,111.494,democratic constitutional republic,14.1,14 06 N,4.8,5.6,47.1,3.9,23.3,2.61,71.9,0.633,2480,5.953199863,24,34.8,21.4,48,70.2,58.7,81.5,29.8,2.232432432,41.3,18.5,10.7,18.6,2.9,5.2,7.8,2.2,3,3.8,6.1,1.5,12.9,16,5.9,0.7105,0.196,0.682,1,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.791989982
6,Argentina,Americas,South America,21522.47,287.693,republic,34.58333333,34 35 S,2.9,8.4,41.7,25.7,31.9,2.25,76.5,0.842,13100,5.974699974,42,6.7,3.1,10,32.6,20.1,44.3,67.4,1.434470377,79.9,55.7,23,37.1,9.3,4.4,7.2,1.3,3,9.7,14.9,4.7,14.6,20,7.1,0.754,0.4015,0.637,1,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.849773705
172,Thailand,South-East Asia,Asia,6743.905,47.536,constitutional monarchy,13.75,13 45 N,3.9,0.7,44.5,0.7,38.1,1.52,78.3,0.772,6490,5.998799801,36,34.5,20.8,47.6,59.1,45.4,72.3,40.9,1.971119134,54.6,27.7,16.8,28.4,5.6,7.4,11.3,2.4,4,8.3,13.4,3.5,19.6,25.3,8.8,0.7095,0.084,0.791,0.9855,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.793855846
76,Hungary,Europe,Europe,22174.587,494.261,parliamentary democracy,47.5,47 30 N,4,4.2,28.2,2.4,42.7,1.45,76.3,0.85,14400,6.000400066,44,14.2,6.8,20.7,33.4,20.1,45.2,66.6,1.458029197,79.9,54.8,37.9,56.1,20.2,6.9,10.8,3.2,4,11.4,18.1,5.4,16.6,23.2,8,0.6935,0.113,0.686,0.9955,0.98,465.63587,293.76733,162.34105,679.27179,686.29309,256.84116,308.1571,7.6134486,10.551611,202.50626,272.6571,0.806793869
137,Philippines,Western Pacific,Asia,3682.649,58.97,republic,14.6,14 36 N,6.7,5.7,44.4,2.9,23.7,2.99,71.6,0.711,3500,6.006000042,34,43.1,28.6,57.7,66.9,54.7,79,33.1,2.157142857,45.3,21,12.1,20.8,3.4,5.2,7.7,1.8,4,6.9,11,2.8,19,23.7,8.7,0.7835,0.361,0.7945,0.998,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.602189481
56,Estonia,Europe,Europe,45847.103,209.936,parliamentary republic,59.43333333,59 26 N,4.9,5.8,34.8,3.7,43,1.6,77.9,0.889,19700,6.021800041,75,11.6,5.3,16.9,27.2,15.1,37.4,72.8,1.356230032,84.9,62.6,47.4,66.2,29.6,20.2,20.7,19.7,5,9.2,15,4.4,20.9,28.4,9.8,0.733,0.2055,0.7505,1,0.976,459.1508,249.21239,160.16359,663.34558,663.61151,277.80951,345.31406,4.4668403,6.4666839,244.85326,264.07236,0.842615008
88,Kazakhstan,Europe,Asia,7919.685,101.471,"republic; authoritarian presidential rule,  with little power outside the executive branch",51.16666667,51 10 N,4,5,26.3,7.4,30.9,2.22,71.7,0.819,11100,6.057899952,38,31.5,18.2,43.5,60.1,45.7,72.8,39.9,1.996323529,54.3,27.2,19.9,33.3,7.5,10.3,14.6,5.5,5,4.8,7.9,1.9,19.4,25.1,8.9,0.7145,0.142,0.742,0.9975,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.698788941
110,Mauritius,Africa,Africa,21737.927,81.304,parliamentary democracy,20.15,20 09 S,3.8,7.1,35.9,3.7,35.7,1.74,75.3,0.801,10300,6.101299763,53,45.9,30.7,60.6,68.8,56.6,80.5,31.2,2.225641026,43.4,19.5,10.8,18.7,2.9,3,5,0.5,2,4.4,7,1.8,10.9,13.7,4.8,0.679,0.144,0.6005,0.9915,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763389409
92,Kuwait,Eastern Mediterranean,Asia,15517.176,60.179,constitutional emirate,29.36666667,29 22 N,-3.3,1.1,NaN,1.5,29.4,2.35,81.6,0.807,27500,6.102099895,42,97.9,97,99.1,99.4,99.2,99.8,0.6,4,0.8,0.2,0,0,0,0.4,0.5,0.1,1,0,0,0,0.8,0.9,0.3,0.6265,0.0225,0.52,0.997,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.776468933
143,Romania,Europe,Europe,17056.556,348.06,republic,44.43333333,44 26 N,6.9,4.9,27.3,1.3,41.6,1.36,75.5,0.823,10700,6.123700142,44,13.5,6.5,19.9,32.8,19.9,44.5,67.2,1.443243243,80.1,55.5,39,57.2,21.1,8.6,12,4.7,4,11.7,18.6,5.5,17.6,24.6,8.5,0.699,0.101,0.7165,0.9975,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79229486
124,Nicaragua,Americas,North America,230.204,3.698,republic,12.13333333,12 08 N,4.9,6.4,47.1,3.9,26.2,1.87,75.2,0.659,2090,6.13710022,22,31.6,18.7,43.8,67.5,55.1,79.2,32.5,2.158653846,44.9,20.8,12.1,21.3,3.6,7.7,12.2,2.1,4,5.2,8.5,2.1,15.1,19.2,7,0.803,0.616,0.6175,1,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.803093255
43,Cyprus,Europe,Asia,69170.444,138.062,republic,35.16666667,35 10 N,3.9,11.1,34.8,0.7,37.2,1.47,80.8,0.885,32000,6.15899992,57,13.6,6.9,20.6,31.2,19.4,43.4,68.8,1.424028269,80.6,56.6,30,45.5,13.3,3.6,5.6,1.4,2,10.8,16.9,4.8,14.5,19.7,6.9,0.7085,0.1965,0.6695,0.999,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.026124597
37,Colombia,Americas,South America,12410.397,278.866,republic,4.6,4 36 N,1.8,9.3,51.1,4.3,30.4,1.98,80.1,0.764,6270,6.163400173,39,26.4,14.8,37.3,61.7,48.3,74.4,38.3,2.01953125,51.7,25.6,15.4,26.3,4.9,5.1,7.8,1.5,3,5.7,9.3,2.4,14.7,18.8,6.7,0.7175,0.2155,0.6785,1,0.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.810020149
138,Poland,Europe,Europe,16736.213,311.709,republic,52.25,52 15 N,4.7,4.9,30.8,2,41.1,1.36,78,0.877,14300,6.186299801,56,13.5,6.5,19.9,32,19.3,43.6,68,1.430851064,80.7,56.4,38.9,57.1,21,6.9,10.6,2.9,4,11.7,18.4,5.6,16.4,22.9,7.9,0.711,0.171,0.7,0.994,0.98,485.89434,295.00824,158.78271,666.81372,645.25305,262.41089,310.96182,12.566577,10.205232,203.20055,314.79718,0.868038476
101,Lithuania,Europe,Europe,45670.54,337.641,parliamentary democracy,54.68333333,54 41 N,3.9,7.1,37.9,3.7,44,1.6,76.1,0.876,16400,6.215499878,60,8.1,3.6,11.8,20.9,10.9,29.1,79.1,1.256699577,89.1,70.9,54.9,73.4,38.2,24.5,23.6,25.4,5,13.2,21.3,6.6,23.7,33.2,11.5,0.8015,0.4395,0.7945,0.992,0.98,538.541295,291.95166,151.61081,644.79767,644.32349,215.29886,282.19785,8.6944227,7.6051412,279.25739,354.26273,0.795421183
12,Bahrain,Eastern Mediterranean,Asia,40914.917,90.269,constitutional monarchy,26.23333333,26 14 N,3.8,3.6,NaN,1.4,32.5,1.73,77,0.852,21700,6.227300167,42,84.4,79.6,93.4,91.2,88.5,96.2,8.8,3.026315789,11.5,3.8,2.3,3.4,0.3,1.9,2.8,0.7,1,1.1,1.5,0.3,20.8,23,8.1,0.632,0.066,0.5125,0.99,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.838836372
35,Chile,Americas,South America,25711.877,326.514,republic,33.45,33 27 S,1.5,6.7,50.5,2.2,34.8,1.79,80.1,0.849,13900,6.228499889,67,6.6,3.1,10.1,32.4,20,44.2,67.6,1.433691756,80,55.8,22.9,36.6,9.1,5.4,9,1.3,3,9.1,13.9,4.4,13.4,18.4,6.5,0.726,0.323,0.613,0.997,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.889260828
187,Uzbekistan,Europe,Asia,736.558,4.891,republic,41.31666667,41 19 N,5.3,5,36.8,12.5,29.1,1.75,68.1,0.717,2900,6.257599831,26,53.9,38.5,68.3,79.2,69.9,88,20.8,2.508333333,30.1,12,7.9,14,2,6.5,8.9,3.6,4,2.6,4.5,0.8,12.5,15.4,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.716703713
157,Slovakia,Europe,Europe,34005.06,379.873,parliamentary democracy,48.15,48 09 N,3.4,8.1,23.7,1.3,41,1.42,77.5,0.858,17700,6.280600071,49,11.6,5.6,17.4,30.8,18.4,42.3,71.3,1.381666667,82.9,60,39.2,57.5,21.3,8.3,12.9,3.2,4,11.1,17.4,5.4,16,22.3,7.7,0.7145,0.1865,0.6905,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.853465259
133,Panama,Americas,North America,23077.167,197.438,constitutional democracy,8.966666667,8 58 N,5.4,6,50.7,0.9,29.5,2.28,79.9,0.812,14900,6.304800034,35,19.5,10.4,28.5,52.3,38.5,66,47.7,1.808823529,61.5,34,21.5,34.9,8,5.3,8.2,1.3,3,8,12.6,3.4,16.2,21,7.5,0.74,0.252,0.7405,0.996,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.878546536
91,Kosovo,Europe,Europe,15156.828,177.761,republic,42.66666667,42 40 N,3.7,30.5,23.2,1.5,29.6,NaN,NaN,NaN,NaN,6.325200081,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#DIV/0!,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.672709167
53,El Salvador,Americas,North America,3110.987,65.215,republic,13.7,13 42 N,2.3,7,36,1,27.6,1.84,75.6,0.67,3920,6.34829998,36,35,20.8,46.8,70.6,58.2,81,29.4,2.2,41.8,19,10.4,19.2,3.1,7.2,11.3,1.9,5,3.9,6.6,1.7,12.2,15.7,5.8,0.7325,0.328,0.631,0.9925,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.752730012
158,Slovenia,Europe,Europe,60044.345,408.615,parliamentary republic,46.05,46 03 N,5,6.6,24.4,1.4,44.2,1.58,81.4,0.912,23500,6.363399982,60,67.7,55,80.6,28.7,17.1,40,13.5,2.698630137,19.7,7.3,42.3,60.3,23.7,8,12.7,3.5,3,11.9,18.4,5.6,17,23.7,8.1,0.7425,0.1905,0.8025,1,0.977,493.328315,286.19876,166.4624,630.43781,631.75488,283.19666,336.93594,6.0041695,5.0139275,234.16261,299.83286,0.932548046
23,Brazil,Americas,South America,16554.706,324.397,federal republic,15.78333333,15 47 S,1,12.8,49,3.4,32.4,1.75,75.7,0.762,8580,6.375599861,38,21.4,11.4,30.8,59.7,46,72.7,40.3,1.978021978,54,27.3,19.7,32.6,7.2,6.9,10.9,1.7,4,7.4,11.8,3.3,19.2,24.7,8.8,0.6955,0.137,0.667,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.766119063
156,Singapore,Western Pacific,Asia,37032.485,29.109,parliamentary republic,1.283333333,1 17 N,3.6,2.2,45.9,0.6,34.9,0.84,84.7,0.936,61100,6.377099991,85,6.7,3.1,10.2,30,18.3,41.2,70,1.389455782,81.7,58.8,32.2,49.2,15.5,2.4,3.5,1.2,1,2,3.1,1,2.8,3.9,1.4,0.7305,0.2125,0.757,0.9915,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.137814283
84,Italy,Europe,Europe,40677.489,303.644,republic,41.9,41 54 N,1.5,11.3,31.9,1.3,45.8,1.45,83.1,0.89,31600,6.38740015,53,27.4,15.1,38.8,32.2,18.8,45.6,67.8,1.492647059,81.2,54.4,25,39.7,10.3,3.6,5.7,1.7,1,7.8,12.5,3.5,11.3,15.6,5.4,0.7205,0.316,0.606,0.996,0.965,395.489335,306.33594,130.70905,705.32733,710.31842,280.92224,366.09576,14.294777,12.062819,133.11972,220.81396,1.022504926
70,Guatemala,Americas,North America,6442.503,111.35,constitutional democratic republic,14.61666667,14 37 N,2.8,2.3,53,4.4,22.5,2.87,72.4,0.657,4160,6.398900032,25,38.2,23.9,51.2,72.7,61.4,83.1,27.3,2.284023669,38.6,16.9,9.1,16.5,2.4,5.5,8.6,1.5,4,2.5,4,1,8.5,10.7,4,0.6595,0.1125,0.5745,0.9725,0.9795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.705952585
163,Spain,Europe,Europe,28723.332,244.865,parliamentary monarchy,40.4,40 24 N,3,17.2,35.9,2,43.1,1.5,83.1,0.905,27700,6.400899887,62,13.6,6.6,20.1,31.4,19.1,43,68.6,1.419298246,80.9,57,29.7,45.8,13.5,4.3,6.7,1.8,2,12.7,20.1,5.8,13.7,19.1,6.6,0.788,0.486,0.704,0.998,0.965,419.009985,289.1279,145.90932,686.55231,696.88,283.99557,347.16925,13.180323,13.661777,166.75362,236.22913,1.051343083
151,Saudi Arabia,Eastern Mediterranean,Asia,2371.322,27.176,monarchy,24.65,24 39 N,-0.9,6,45.9,-0.9,29.9,2.04,74.3,0.854,20100,6.406499863,53,93.4,91.4,96.1,94.2,92.7,96.5,5.8,2.085714286,7.3,3.5,0.2,0.2,0,0.2,0.3,0.1,1,0.2,0.3,0,3,3.6,1.3,0.6195,0.077,0.457,0.9795,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.759818137
186,Uruguay,Americas,South America,28611.176,216.971,constitutional republic,34.85,34 51 S,2.7,7.6,41.6,6.2,35.1,1.79,77.5,0.816,16000,6.440100193,71,6,2.7,9,31.1,18.7,42.4,68.9,1.411458333,81.3,57.6,24.9,39.7,10.5,3.9,7,0.9,3,6.9,10.8,3.4,15.4,21.4,7.6,0.7065,0.143,0.7035,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.856928885
