Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Kenya,,,Africa,Africa,KE,341515,635.125,5684,10.571,republic,Nairobi,1 17 S,36 49 E,4.9,"$3,500 ",3.6,40,48.5,17.6,-6.7,54.2,8,10,13.67,1.3,20,1.57,22.6,6.7,-0.2,342,36.1,64.6,2.81,7.1,5.2,unknown,2018,66.1,0.599,0.36,1470,38.7,4.583000183,0.476413399,31,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575,2020,0.905077755,63.1,49.2,76.9,76.1,66.2,86,23.9,33.8,14,10.3 [9.4-11.2],17.8 [16.4-19.1],2.9 [2.5-3.3],4,6.3,1.1,5.9,1.4,47.4,24.8,18.1,11.7,4,2.8 [2.1-3.6],4.6 [3.4-6],1.1 [0.8-1.4],13.1 [14.6-],16.1 [18-],6 [6.7-]
Kiribati,,,Western Pacific,,KI,3430,2871.518,13,10.883,republic,Tarawa,1 21 N,173 02 E,3.1,"$2,000 ",1.1,30.6,unknown,76.8,-64.1,26.3,0.4,unknown,unknown,unknown,25,1.12,21,7,-2.8,92,31.1,66.9,2.34,46,unknown,17.1,,,,,,,,,,,,,,,,,70.5,57.7,82.4,87.9,81.9,93.5,12.1,18.1,6.5,6.7 [6.2-7.3],11.8 [11-12.6],2 [1.7-2.3],1.3,1.9,0.7,4.5,1.5,13.4,12.5,15,8.9,1,0.5 [0.5-1.2],0.8 [0.8-2.1],0.2 [0.2-0.4],3.2 [3.7-],3.9 [4.5-],1.4 [1.7-]
Kosovo,,,Europe,Europe,XK,272166,15156.828,3192,177.761,republic,Pristina,42 40 N,21 10 E,3.7,"$10,900 ",1.2,30.5,23.2,29,-2.1,21.2,1.5,unknown,6.83,0.8,29.6,unknown,unknown,unknown,-2.6,unknown,unknown,unknown,unknown,unknown,unknown,52.4,,,,,,,6.325200081,0.840481341,36,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,2020,1.183962822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,Eastern Mediterranean,Asia,KW,662672,15517.176,2570,60.179,constitutional emirate,Kuwait City,29 22 N,47 58 E,-3.3,"$65,800 ",2.8,1.1,unknown,41.8,-10,20.6,1.5,2.75,4.68,5.06,29.4,1.38,18.8,2.3,-2.8,12,6.8,78.3,2.35,37.9,unknown,15.4,2018,81.6,0.807,23.7,27500,76,6.102099895,1.424833655,42,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,2020,1.244779825,97.9,97,99.1,99.4,99.2,99.8,0.6,0.8,0.2,0 [0-0],0 [0-0],0 [0-0],0.4,0.5,0.1,1,0.1,4.6,1.3,0.1,0,1,0 [0-0.2],0 [0-0.3],0 [0-0.1],0.8 [1.5-],0.9 [1.7-],0.3 [0.6-]
Kyrgyzstan,Kyrgyz Republic,,Europe,Asia,KG,206530,3165.603,2991,45.845,republic,Bishkek,42 52 N,74 36 E,4.6,"$3,700 ",10.9,7.1,33.4,28.7,-3.2,56,3.2,5,18.49,1.57,26.8,1.02,21.6,6.4,-5.1,60,25,71.2,2.59,16.6,7.2,14.8,2018,73.3,0.696,1.6,1200,54.9,5.541500092,0.513180971,31,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,2020,1.341036677,46,30.8,60.4,74.1,63.2,84.5,25.9,36.8,15.5,11.1 [10.2-12.1],19.4 [17.8-20.9],3.2 [2.8-3.7],10.9,15.1,5.6,9.1,3.5,72.3,40.3,26.3,18.5,5,6.3 [4.8-7.6],10.8 [8.4-13.2],2 [1.5-2.4],23.6 [25.9-],29.3 [32.1-],10.6 [11.6-]
Lao People's Democratic Republic,Laos,Lao,Western Pacific,Asia,LA,216660,2977.915,757,10.405,Communist state,Vientiane,17 58 N,102 36 E,6.9,"$7,400 ",8,0.7,36.7,18.3,-5.5,63.6,0.8,4.3,18.5,0.19,23.4,1.48,23.2,7.3,-1,185,48.4,65,2.65,5.3,2.9,18.2,2018,68.6,0.609,2.74,2480,25,,,,,,,,,,,35.5,21.9,48.7,60,46.6,73,40,53.4,27,16.6 [15-18.2],28.1 [25.7-30.5],5.5 [4.7-6.4],7,10.8,2.9,8.2,3.3,72.7,48.3,32.2,22.1,5,10.7 [9-12.7],17.1 [14.3-20.4],4.6 [3.7-5.3],24.5 [26.9-],31.3 [34.2-],11.6 [12.8-]
Latvia,,,Europe,Europe,LV,963451,50503.938,6091,319.289,parliamentary democracy,Riga,56 57 N,24 06 E,4.5,"$27,700 ",10.6,8.7,34.5,37.5,-0.5,36.3,2.9,0,2.58,2.01,43.9,-1.1,9.6,14.5,-6,19,5.1,74.9,1.52,23.6,5.3,17,2018,75.8,0.863,3.73,15500,69.4,5.949999809,1.14139545,57,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,2020,1.414398789,10.2,4.6,14.8,25,13.5,34.5,75,86.5,65.5,50.2 [44.9-55.1],69.1 [64-73.4],32.9 [27.3-38.6],21.5,22.4,20.7,9.3,3.7,51.9,64.4,52.3,50.6,5,12.8 [13.6-17.7],20.9 [23-30.1],6.1 [5.6-7.7],22.4 [23.8-],31 [33-],10.6 [11.3-]
Lebanon,,,Eastern Mediterranean,Asia,LB,1220443,17880.783,10736,157.294,republic,Beirut,33 52 N,35 30 E,1.5,"$19,600 ",-21.1,9.7,unknown,21.5,-6.9,146.8,4.5,10,8.29,4.99,31.3,-3.13,14.1,5.1,-40.3,29,7.2,77.9,1.72,32,2.5,unknown,2018,76.2,0.747,3.53,7310,64.1,4.771500111,0.889232516,25,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225,2020,1.19249332,90.1,84.9,95.3,93.9,90.8,97,6.1,9.2,3,1.3 [1-1.6],2.4 [1.8-3],0.2 [0.2-0.3],1.3,1.9,0.6,1.5,0.4,29.5,9.6,4.8,3.3,1,1.7 [1.3-2.3],2.9 [2.2-3.8],0.6 [0.4-0.8],25.4 [27.4-],30 [32.4-],10.9 [11.7-]
Lesotho,,,Africa,Africa,LS,34490,1609.99,706,32.956,parliamentary constitutional monarchy,Maseru,29 19 S,27 29 E,-1.6,"$3,300 ",12.5,28.1,63.2,39.7,-6,33.7,5.3,6.75,11.58,1.81,24.4,0.24,24.2,15.1,-6.6,544,44.6,53,2.59,16.6,6.4,34.4,2018,51.4,0.522,1.26,1110,41.6,,,,,,,,,,,70.6,58,82.8,82.2,73.9,90.1,17.8,26.1,9.9,8.5 [7.7-9.4],14.9 [13.5-16.3],2.4 [2-2.8],3.3,5.4,1.3,7.4,1.5,55.8,30.4,20.5,14,5,4.6 [3.4-5.5],7.9 [5.9-9.6],1.6 [1.1-1.8],26.1 [28.8-],31.6 [35-],11.9 [13.1-]
Liberia,,,Africa,Africa,LR,8022,158.61,294,5.813,republic,Monrovia,6 18 N,10 48 W,2.5,"$1,300 ",9,2.8,32,16.9,-4.3,34.4,12.4,3.2,13.3,0.77,17.8,2.59,37.9,7.4,-4.7,661,50.6,63.8,5,9.9,3.8,2.3,2018,65.7,0.48,0.324,673,46.9,4.557899952,0.174103007,28,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851,2020,0.920733929,63.7,52.4,74.9,69.2,57.3,81.1,30.8,42.7,18.9,12 [10.8-13.2],20.7 [18.8-22.6],3.3 [2.8-3.8],5.2,8.4,1.9,6.6,2.4,60.5,32.5,23.3,16.5,5,6.1 [4.6-7.5],9.7 [7.4-12.1],2.5 [1.9-3.1],17.5 [19.3-],21.5 [23.7-],8 [8.8-]
Libya,,,Eastern Mediterranean,Africa,LY,507084,7379.748,6437,93.68,operates under a transitional government,Tripoli,32 53 N,13 10 E,64,"$9,600 ",60.3,30,unknown,51.6,-25.1,4.7,28.5,9.52,7.3,unknown,29.4,1.45,17.2,3.7,0.9,72,10.5,76.9,2.03,32.5,unknown,48.7,2018,75.7,0.721,8.09,5910,58.6,5.488800049,1.021913767,17,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156,2020,1.196283698,99.5,99.2,99.8,99.9,99.8,99.9,0.1,0.2,0.1,0 [0-0],0 [0-0],0 [0-0],0.2,0.2,0.1,0.2,0,1.9,0.5,0.1,0.1,1,0 [0-0.2],0 [0-0.3],0 [0-0],16.6 [20.5-],19.7 [24.3-],7 [8.7-]
Liechtenstein,,,Europe,,LI,20935,54029.989,86,221.953,hereditary constitutional monarchy,Vaduz,47 08 N,9 31 E,1.8,"$139,100 ",unknown,2.4,unknown,14.9,1.6,unknown,-0.4,unknown,unknown,unknown,43.4,0.78,10.4,7.6,5,unknown,4.2,82,1.69,unknown,2.6,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,Europe,Europe,LT,1276076,45670.54,9434,337.641,parliamentary democracy,Vilnius,54 41 N,25 19 E,3.9,"$32,400 ",5.9,7.1,37.9,33.7,0.5,39.7,3.7,0,2.8,2.03,44,-1.1,9.8,14.8,-6.1,5,3.8,75.2,1.6,26.3,4.2,13.3,2018,76.1,0.876,4.84,16400,67.1,6.215499878,1.193559647,60,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,2020,1.432865739,8.1,3.6,11.8,20.9,10.9,29.1,79.1,89.1,70.9,54.9 [49.6-59.8],73.4 [68.6-77.3],38.2 [32.2-44.2],24.5,23.6,25.4,9.7,4.4,53.6,67.6,54,52.7,5,13.2 [11.5-15.1],21.3 [19.3-25.4],6.6 [5-6.8],23.7 [24.9-],33.2 [35-],11.5 [12.1-]
Luxembourg,,,Europe,Europe,LU,306843,49007.999,1162,185.591,constitutional monarchy,Luxembourg,49 36 N,6 07 E,2.3,"$105,100 ",1.9,5.8,30.4,44.4,1.5,23,2.1,0,1.9,0.56,39.3,1.9,11.6,7.3,14.8,5,3.4,82.4,1.62,22.6,3.9,15.4,2018,82.9,0.913,15.9,104000,87.2,7.237500191,1.536676049,80,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,2020,1.387528419,3.4,1.6,5.3,8.2,4.2,12.3,91.8,95.8,87.7,51.2 [46-56.3],68.9 [63.6-73.6],33.2 [28-38.7],5.8,8.7,3,6.7,4.1,76.6,68,55.4,40.3,2,12.9 [11.1-14.7],19.5 [16.7-22.2],6.4 [5.3-7.4],13.7 [14.5-],19.9 [21-],6.9 [7.3-]
Madagascar,,,Africa,Africa,MG,67259,242.891,1412,5.099,republic,Antananarivo,18 55 S,47 31 E,4.2,"$1,600 ",5.2,1.8,41,15.9,-2.7,36,8.3,9.5,60,0.6,19.9,2.46,31,6.4,0,335,40.1,66.6,3.95,5.3,2.8,1,2018,65.1,0.527,0.163,481,26.6,4.165599823,0.244553208,25,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,2020,0.823694348,67,53.8,80,79.1,70,88,20.9,30,12,8.5 [7.8-9.3],15 [13.7-16.2],2.2 [1.9-2.6],2.8,4.3,1.2,3,0.5,32.3,19.7,16.9,11.6,3,2 [1.3-2.7],3.2 [2.1-4.5],0.8 [0.5-1.1],8.8 [9.9-],10.7 [12.1-],4 [4.5-]
Malawi,,,Africa,Africa,MW,88083,460.445,2685,14.036,multiparty democracy,Lilongwe,13 58 S,33 47 E,4,"$1,200 ",1.2,20.4,46.1,21.7,-3.4,59.2,12.2,16,38.1,0.85,16.6,3.31,40.7,7.7,0,349,42.1,62.2,5.43,5.8,4,8.5,2018,64.1,0.478,0.0762,391,17.9,3.538000107,0.176534727,30,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,2020,0.53036809,63.2,49.2,76.9,76.3,66.4,86.1,23.7,33.6,13.9,10.4 [9.6-11.3],18 [16.6-19.4],2.9 [2.5-3.3],3,4.5,1.1,3.8,0.7,48.9,24.7,20.6,15.2,3,3.6 [2.6-4.7],6 [4.3-7.7],1.4 [1-1.7],14.7 [16.4-],18 [20.1-],6.8 [7.6-]
Malaysia,,,Western Pacific,Asia,MY,4990431,15418.745,36667,113.289,constitutional monarchy ,Kuala Lumpur,3 10 N,101 42 E,5.9,"$29,100 ",5,3.4,46.2,16.4,-3,54.1,3.8,3,4.61,0.98,28.7,1.34,18.8,5.2,-0.3,29,12.1,75.4,2.48,15.6,4.7,10.5,2018,75.2,0.805,8.08,11100,62.3,5.384300232,1.168421626,51,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,2020,1.17400229,49.6,34.4,64.5,70.4,58.8,81.8,29.6,41.2,18.2,9.1 [8-10.3],16.1 [14.2-18],2.3 [1.9-2.7],2.1,2.7,1.1,2.2,0.6,16.8,16.2,17.6,10.9,1,0.9 [0.7-1.6],1.4 [1.1-2.4],0.3 [0.3-0.6],3 [3.3-],3.7 [4.1-],1.3 [1.5-]
Maldives,,,South-East Asia,Asia,MV,185618,34339.11,311,57.535,republic,Male,4 10 N,73 30 E,4.8,"$19,200 ",14,2.9,38.4,26.4,-10.1,63.9,2.3,7,10.5,unknown,28.6,-0.06,16.1,4,-12.7,53,21.3,76,1.72,8.6,4.1,15.9,2018,79,0.734,2.96,9820,72.3,,,,,,,,,,,85.8,78.3,93.1,92.1,87.9,96.1,7.9,12.1,3.9,0.3 [0.3-0.5],0.7 [0.5-0.9],0 [0-0.1],1.7,2.4,0.6,3.9,0.4,36.1,12.8,5.7,3.7,1,2.2 [2.2-4.2],3.5 [3.2-6.3],0.5 [0.7-1.3],26.9 [31.5-],31.9 [37.3-],11.7 [13.6-]
Mali,,,Africa,Africa,ML,32758,161.761,742,3.664,republic,Bamako,12 39 N,8 00 W,5.4,"$2,200 ",6.3,7.9,40.1,20,-2.9,35.4,1.8,16,5.2,2.87,15.8,2.98,43.2,9.6,-3.9,562,67.6,60.8,5.9,8.6,3.1,2.3,2018,61.2,0.431,0.187,802,29.3,4.729300022,0.352462649,30,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,2020,0.97314173,73.2,63.5,82.9,78.1,68.9,87.2,21.9,31.1,12.8,6.9 [6.1-7.8],12.3 [10.9-13.7],1.6 [1.4-1.9],1.3,2.1,0.5,1.5,0.3,21,13.4,16.4,10.3,2,1.3 [0.7-2],2.2 [1.3-3.4],0.4 [0.2-0.6],5.4 [6.2-],6.6 [7.5-],2.5 [2.8-]
Malta,,,Europe,Europe,MT,115818,22507.987,809,157.22,republic,Valletta,35 53 N,14 30 E,6.7,"$41,900 ",-3.3,4.6,28.1,40.4,3.9,50.7,1.3,-0.35,3.7,0.49,41.8,0.99,10,7.9,7.8,6,4.7,82.7,1.48,28.9,5.3,11.3,2018,82.5,0.894,3.61,27100,80.4,6.772799969,1.252513289,53,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,2020,1.442956924,17.2,8.8,25.5,37,23.8,50,63,76.2,50,25.6 [23.4-27.8],40.1 [37.1-43.1],10.4 [9.1-11.7],3.5,5.4,1.5,6.2,2.4,69.2,50.8,39.7,27.9,1,8 [8.6-11.3],12.4 [13.4-17.5],3.6 [3.9-5.1],11.7 [12.5-],15.9 [17.1-],5.6 [6-]
Marshall Islands,,,Western Pacific,,MH,15541,26254.35,17,28.719,constitutional government,Majuro,7 06 N,171 23 E,2.5,"$3,600 ",unknown,36,unknown,52.6,1.3,25.5,0,unknown,unknown,unknown,23.1,1.5,23.8,4.2,-4.6,unknown,18.7,73.6,2.98,52.9,unknown,11,,,,,,,,,,,,,,,,,.,.,.,No data,No data,No data,.,.,.,.,.,.,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,,,,,,
Martinique,,,Americas,,,224468,59815.863,1071,285.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,Africa,Africa,MR,63419,1363.95,997,21.442,military junta,Nouakchott,18 04 N,15 58 W,3.5,"$4,500 ",1,10.2,37,27.4,-0.8,96.6,2.3,9,17,3.02,20.7,2.14,29.9,7.8,-0.8,766,50.5,63.8,3.79,12.7,2.6,15.2,2018,70.5,0.542,0.605,1500,50.7,4.374599934,0.539684892,29,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,2020,1.113323569,98,96.9,99.1,99.1,98.6,99.5,0.9,1.4,0.5,0 [0-0.1],0.1 [0.1-0.1],0 [0-0],0.2,0.4,0.1,0.8,0.1,4.1,1.3,0.1,0.1,1,0 [0-0.2],0.1 [0-0.3],0 [0-0.1],3 [3.5-],3.5 [4.1-],1.3 [1.5-]
Mauritius,,,Africa,Africa,MU,276456,21737.927,1034,81.304,parliamentary democracy,Port Louis,20 09 S,57 29 E,3.8,"$22,300 ",3.2,7.1,35.9,22.5,-0.3,64,3.7,9,8.5,0.16,35.7,0.57,12.8,7.1,0,61,9.5,76,1.74,10.8,4.8,24,2018,75.3,0.801,3.83,10300,69.7,6.101299763,1.07366395,53,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,2020,1.395666838,45.9,30.7,60.6,68.8,56.6,80.5,31.2,43.4,19.5,10.8 [9.7-11.9],18.7 [16.9-20.6],2.9 [2.5-3.4],3,5,0.5,6.1,1.6,49.8,29.5,22.3,9.9,2,4.4 [3.7-5.7],7 [5.9-9.2],1.8 [1.5-2.4],10.9 [11.9-],13.7 [15-],4.8 [5.3-]
Mayotte,,,Africa,,,41176,15093.012,187,68.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,Americas,North America,MX,7125176,5526.273,330495,256.331,federal republic,Mexico City,19 26 N,99 08 W,2,"$19,900 ",-0.6,3.4,48.2,22.7,-1.1,54.3,6,7.25,7.34,0.54,28.6,1.09,18.1,5.4,-1.8,33,11.3,76.3,2.22,28.9,4.9,6.9,2018,75.5,0.776,3.79,9950,61.1,6.465000153,1.024387479,31,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,2020,1.226333499,23.1,12.7,33.2,57.3,43.6,70.6,42.7,56.4,29.4,18 [15.9-20.1],30.1 [27-33.2],6.2 [5.1-7.4],6,9.8,1.3,4.5,1.8,64.4,38.1,33.1,24,3,5 [4.5-6.9],8 [7.2-10.9],2.1 [1.9-2.9],15 [16.2-],19.3 [20.8-],7 [7.5-]
Micronesia (Federated States of),"Micronesia, Federated States of",,Western Pacific,,FM,22035,19157.038,58,50.425,constitutional government,Palikir,6 55 N,158 09 E,2,"$3,400 ",unknown,16.2,61.1,65.2,6.6,24.5,0.5,unknown,15.73,unknown,25.5,-0.55,19.6,4.2,-20.9,88,19.1,73.4,2.37,45.8,12.5,18.9,,,,,,,,,,,,,,,,,64.7,51.4,78.5,84.8,78,91.9,15.2,22,8.1,9.3 [8.7-9.9],15.5 [14.6-16.3],2.9 [2.6-3.3],2.4,3.6,1.1,3.2,1.1,40.2,20.4,19.8,12.5,2,2.5 [1.9-3.5],4.1 [3.1-5.6],0.8 [0.7-1.2],14.4 [15.9-],17.3 [19.1-],6.5 [7.2-]
Monaco,,,Europe,,MC,15442,39348.69,65,165.63,constitutional monarchy,Monaco,43 44 N,7 25 E,5.4,"$115,700 ",6.8,2,unknown,14.9,-1,unknown,1.5,unknown,unknown,unknown,53.8,0.3,6.5,10.1,6.5,unknown,1.8,89.4,1.54,unknown,1.5,26.6,,,,,,,,,,,,,,,,,.,.,.,No data,No data,No data,.,.,.,.,.,.,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,,,,,,
Mongolia,,,Western Pacific,Asia,MN,992767,30283.074,2134,65.095,parliamentary,Ulaanbaatar,47 55 N,106 55 E,5.1,"$13,000 ",-1,8,34,26.6,-6.4,91.4,4.6,11,20.01,0.68,28.8,1.11,18.2,6.3,-0.8,45,20.5,70.2,2.04,20.6,4.1,17.9,2018,68,0.735,8.88,4240,52.5,5.456200123,0.904872775,35,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,2020,1.458930612,37.3,23.1,50.9,66.4,53.7,78.5,33.6,46.3,21.5,15.7 [14.4-16.9],26.5 [24.6-28.3],5.2 [4.5-5.9],11.6,15.1,6.4,8.2,4.2,66.8,38.1,34,22.3,5,8.2 [6.8-9.5],12.8 [10.6-15],3.8 [3-4.3],22 [23.8-],27.7 [29.9-],10 [10.7-]
Montenegro,,,Europe,Europe,ME,283691,45169.267,2789,444.064,republic,Podgorica,42 26 N,19 16 E,4.3,"$17,800 ",-4.2,16.1,31.9,37.2,-5.6,67.2,2.4,unknown,6.81,1.66,38.9,-0.34,11.9,10.4,-4.9,6,unknown,unknown,unknown,23.3,unknown,31.7,2018,75.6,0.826,3.2,7380,73.1,5.54610014,1.010150075,45,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,2020,1.265657902,22.9,12.4,32.9,46,31.8,59.6,54,68.2,40.4,26.9 [24.3-29.6],42.4 [38.8-45.8],11.4 [9.7-13.3],6.2,8.6,3.8,7.1,2.6,71.8,48.3,38.3,26.5,3,11.5 [10-13.4],18.3 [15.9-21.4],5 [4.2-5.7],14 [15.1-],18.7 [20.1-],6.6 [7.1-]
Montserrat,,,Americas,,,1403,28065.613,8,160.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,Eastern Mediterranean,Africa,MA,1268639,3437.062,16284,44.117,constitutional monarchy,Rabat,34 01 N,6 49 W,4.1,"$8,600 ",2.8,10.2,40.9,20.9,-3.6,65.1,0.8,6.5,5.6,3.1,29.7,0.95,17.5,4.9,-3.1,70,21.1,77.3,2.09,26.1,5.3,22.2,2018,73.1,0.68,1.84,3370,43,5.094799995,0.75862211,40,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,2020,0.645208478,94.6,91.6,97.4,97.4,96.1,98.7,2.6,3.9,1.3,0.5 [0.3-0.6],0.9 [0.6-1.1],0.1 [0.1-0.1],0.8,1.2,0.3,1.1,0.2,18.2,5.3,2.3,1.4,1,0.7 [0.5-1.3],1.2 [0.9-2.3],0.2 [0.1-0.3],21.6 [24.4-],25.8 [29.2-],9.3 [10.5-]
Mozambique,,,Africa,Africa,MZ,230624,737.868,2226,7.122,republic,Maputo,25 57 S,32 35 E,3.7,"$1,300 ",4.9,24.5,45.6,26.7,-5.6,102.1,15.3,19,27.86,0.99,17.3,2.46,37.8,11.4,-1.8,289,64,54.1,5.02,7.2,6.5,7.4,2018,57.9,0.452,0.281,603,21,,,,,,,,,,,66.8,53.1,79.4,79,69.5,87.7,21,30.5,12.3,8.7 [7.9-9.5],15.6 [14.3-16.9],2.4 [2.1-2.7],2.4,3.8,0.8,1.5,0.4,35.8,20.5,19.1,13.5,3,2.3 [1.5-3.2],3.9 [2.6-5.4],0.9 [0.5-1.1],10.9 [12.2-],13.4 [15-],5.1 [5.7-]
Myanmar,,,South-East Asia,Asia,,633245,1163.844,19488,35.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,69.1,0.579,0.491,1350,34.6,4.308000088,0.67809093,28,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,2020,1.098178267,50.1,34.7,64.6,72.9,61.7,83.5,27.1,38.3,16.5,8.9 [8-9.8],15.9 [14.3-17.4],2.3 [2-2.6],6.6,10.5,2.4,4.7,0.9,57.7,31.2,22.7,13.1,4,5.1 [3.7-6.7],8.4 [6.2-11.2],2 [1.4-2.6],15.4 [17.8-],19.3 [22.3-],7 [8.1-]
Namibia,,,Africa,Africa,unknown,169929,6687.735,4080,160.573,republic,Windhoek,22 34 S,17 05 E,-0.8,"$11,200 ",-0.4,34,59.7,32.2,-5.5,41.3,6.1,7,10.04,3.35,21.4,1.91,26.8,7.7,0,195,33.8,64.4,3.21,17.2,3.1,44.9,2018,64.7,0.645,1.75,4630,61.2,,,,,,,,,,,54.3,38.9,68.4,69.7,57.6,80.9,30.3,42.4,19.1,17.1 [15.7-18.5],28.9 [26.9-30.8],6.5 [5.6-7.4],6.1,9.5,2.5,5.9,1.8,69.3,44.4,34.2,25.1,5,5.4 [4.6-6.6],9.1 [7.9-11.2],2.1 [1.6-2.4],31.3 [33.7-],39.5 [42.4-],14.7 [15.8-]
Nauru,,,Western Pacific,,NR,4621,42652.76,1,9.23,republic,none,unknown,unknown,4,"$12,300 ",unknown,23,unknown,90.3,-9.2,62,5.1,unknown,unknown,unknown,26.7,0.51,23.2,5.9,-12.3,unknown,7.7,67.8,2.76,61,unknown,26.6,,,,,,,,,,,,,,,,,53.7,38.8,68.3,78,68.5,87.2,22,31.5,12.8,14.4 [13.6-15.2],23.6 [22.5-24.6],5.4 [4.8-6],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,3.7 [2.8-4.7],6.2 [4.6-7.9],1.3 [0.9-1.6],22.5 [25-],27.8 [30.9-],10.3 [11.4-]
Nepal,,,South-East Asia,Asia,NP,1000889,3435.136,12019,41.25,federal democratic republic,Kathmandu,27 43 N,85 19 E,7.9,"$2,700 ",12.4,3,32.8,23.8,-0.1,26.4,4.5,7,11.3,1.44,24.5,1.09,19.1,5.6,-2.5,186,26.9,71.3,2.07,4.1,5.2,unknown,2018,70.8,0.596,0.337,1020,20.1,5.137199879,0.444050372,33,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,2020,1.100789309,66.9,53.1,79.1,72.9,61.6,82.9,27.1,38.4,17.1,9.8 [8.6-11.1],17.7 [15.6-19.8],2.8 [2.3-3.3],2.3,3.6,0.9,3.2,0.4,31.7,20.7,20.6,10.6,2,2.1 [1.1-3.1],3.5 [1.8-5.5],0.8 [0.4-1.1],6.9 [8-],8.7 [10.1-],3.2 [3.8-]
Netherlands,,,Europe,Europe,NL,8541997,49070.546,22910,131.609,constitutional monarchy,Amsterdam,52 21 N,4 55 E,2.9,"$53,900 ",3.3,4.9,30.3,43.4,1.1,56.5,1.3,0,1.33,1.36,42.7,0.38,10.9,9,1.9,5,3.5,81.5,1.78,20.4,5.5,8.9,2018,81.7,0.942,9.48,47800,81.7,7.448900223,1.338946342,82,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,2020,1.463645935,12.1,5.9,18.1,27.9,16.7,38.8,72.1,83.3,61.2,31.6 [29.2-34],48 [44.9-51.1],14.9 [13.2-16.8],3.6,5.7,1.7,6.8,3.1,69.7,55.5,37.2,26.4,2,9.6 [7.2-9.9],14.8 [11.1-15.3],4.5 [3.4-4.6],11.4 [11.9-],15.9 [16.7-],5.5 [5.8-]
New Caledonia,,,Western Pacific,,,76187,26685.651,314,109.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
